"","x"
"1",99.0101116586375
"2",98.9918581095151
"3",99.5190886460792
"4",101.344913904922
"5",101.39062089468
"6",99.5711111185639
"7",100.59967418525
"8",101.774928415952
"9",101.654610100119
"10",98.4448145724623
"11",99.2555293253276
"12",100.164163348614
"13",100.386651154236
"14",96.8519350691034
"15",100.725692812255
"16",99.8086683068937
"17",100.457905120163
"18",103.247940648998
"19",97.1138439706585
"20",98.102829492998
"21",101.58733048514
"22",100.800048593868
"23",102.179826837173
"24",100.752153473799
"25",97.7421384633351
"26",101.102258305252
"27",101.726862740442
"28",100.502947150342
"29",96.6662475134351
"30",100.75890259408
"31",99.3687113248596
"32",99.3027381278
"33",99.8319651249997
"34",98.573354430137
"35",95.9385775917339
"36",97.8977705436701
"37",101.868675454833
"38",99.3904649354828
"39",98.1701554172911
"40",101.752798831111
"41",100.067085101967
"42",99.6332277270099
"43",98.8176685517674
"44",97.7839741134464
"45",104.173889667374
"46",99.6011216626236
"47",99.2025636142605
"48",100.164642989279
"49",98.9247635404225
"50",100.895475384591
"51",99.8929164340307
"52",101.94211231122
"53",99.6167368768756
"54",102.016711062645
"55",95.5716742179069
"56",97.1872908635748
"57",98.3424889635671
"58",102.017150042857
"59",98.4794881810765
"60",100.516309191765
"61",96.7037523951594
"62",100.996080623177
"63",99.243992941781
"64",99.38780265013
"65",101.164973664725
"66",100.086502549763
"67",100.495423113597
"68",100.226965750619
"69",100.357623710243
"70",99.5198570734872
"71",104.241776249314
"72",102.091189922549
"73",97.0486261866704
"74",100.618216010374
"75",99.0269098089334
"76",105.245272496459
"77",99.4219370028813
"78",99.1847416246232
"79",99.2184375881591
"80",99.445439590419
"81",100.470136467609
"82",100.240821555903
"83",100.29383439817
"84",100.016285988319
"85",98.7936732412149
"86",100.033275262466
"87",99.901684533197
"88",98.6283678277248
"89",102.389392607534
"90",107.340059545444
"91",106.200061025505
"92",98.5182790046826
"93",100.553146397402
"94",111.625443149754
"95",99.421952477736
"96",95.5324387541944
"97",99.9549977717775
"98",99.9134370340617
"99",100.958692637458
"100",100.686571096993
"101",99.9423196022291
"102",99.6019658709976
"103",100.871504027749
"104",99.3138376663407
"105",101.725934585618
"106",100.511974816998
"107",100.104344060686
"108",101.356215295693
"109",99.3291746845733
"110",98.7727770337437
"111",98.1868396369557
"112",100.718113271441
"113",101.080342322895
"114",100.771016385273
"115",99.3865082433336
"116",99.7979897896399
"117",99.5514502694381
"118",98.5111309743476
"119",104.35784927169
"120",101.482127810622
"121",99.9775256213618
"122",94.992866109019
"123",100.131895546986
"124",98.3091998416625
"125",103.127516104857
"126",100.305252601495
"127",100.023633455418
"128",100.135851512339
"129",105.242510604968
"130",100.212884372562
"131",100.772509559243
"132",101.178681758473
"133",100.171880124656
"134",100.015723142733
"135",99.8481352797162
"136",103.015442023045
"137",99.3626855564771
"138",98.6957973255619
"139",100.196577930627
"140",102.051956949878
"141",98.2731706213534
"142",102.829627074247
"143",101.007605412968
"144",99.7207437860235
"145",96.6266314836761
"146",97.033420096615
"147",97.3781113456685
"148",99.8477923214869
"149",98.6434327471717
"150",100.414902965829
