Date;Open;High;Low;Close;Adj Close;Volume
2000-11-01;20.900000;21.000000;20.650000;20.900000;12.098295;1110500
2000-11-02;20.900000;21.150000;20.600000;20.900000;12.098295;70000
2000-11-03;20.549999;20.799999;20.450001;20.549999;11.895689;85000
2000-11-06;21.100000;21.150000;20.799999;21.100000;12.214067;407000
2000-11-07;21.100000;21.150000;20.775000;21.100000;12.214067;152500
2000-11-08;21.150000;21.200001;20.950001;21.150000;12.243011;68000
2000-11-09;21.325001;21.362499;20.950001;21.325001;12.344313;73000
2000-11-10;21.250000;21.600000;21.100000;21.250000;12.300897;110000
2000-11-13;21.200001;21.350000;21.000000;21.200001;12.271954;135500
2000-11-14;21.100000;21.500000;21.025000;21.100000;12.214067;69500
2000-11-15;21.150000;21.350000;21.000000;21.150000;12.243011;155500
2000-11-16;20.850000;21.075001;20.600000;20.850000;12.069351;64000
2000-11-17;20.775000;20.900000;20.575001;20.775000;12.025936;288000
2000-11-20;20.775000;20.900000;20.549999;20.775000;12.025936;292500
2000-11-21;21.000000;21.100000;20.700001;21.000000;12.156180;398000
2000-11-22;21.100000;21.200001;20.799999;21.100000;12.214067;541000
2000-11-24;20.875000;21.049999;20.700001;20.875000;12.083822;593000
2000-11-27;21.299999;21.350000;20.900000;21.299999;12.329837;563500
2000-11-28;21.200001;21.549999;21.049999;21.200001;12.271954;236500
2000-11-29;21.500000;21.600000;21.200001;21.500000;12.445613;135500
2000-11-30;21.600000;21.900000;21.500000;21.600000;12.503500;164500
2000-12-01;22.100000;22.200001;21.750000;22.100000;12.792933;126000
2000-12-04;22.850000;22.900000;22.450001;22.850000;13.227082;82500
2000-12-05;22.400000;22.700001;22.400000;22.400000;12.966591;163500
2000-12-06;22.150000;22.299999;22.000000;22.150000;12.821876;67500
2000-12-07;22.000000;22.200001;21.900000;22.000000;12.735044;52500
2000-12-08;21.100000;21.900000;21.000000;21.100000;12.214067;496500
2000-12-11;20.775000;21.000000;20.750000;20.775000;12.025936;85000
2000-12-12;20.799999;20.900000;20.549999;20.799999;12.040405;244000
2000-12-13;20.850000;21.200001;20.825001;20.850000;12.069351;96000
2000-12-14;21.275000;21.400000;21.049999;21.275000;12.315369;155500
2000-12-15;21.287500;21.600000;21.287500;21.287500;12.322603;434000
2000-12-18;21.775000;22.025000;19.600000;21.775000;12.604801;261000
2000-12-19;22.200001;22.250000;21.725000;22.200001;12.850820;223500
2000-12-20;22.400000;22.600000;22.200001;22.400000;12.966591;143000
2000-12-21;22.325001;22.725000;22.150000;22.325001;12.923178;120000
2000-12-22;22.700001;22.799999;22.450001;22.700001;13.140253;222000
2000-12-26;22.862499;23.000000;22.500000;22.862499;13.234317;189500
2000-12-27;22.700001;23.150000;22.700001;22.700001;13.140253;97000
2000-12-28;22.950001;23.250000;22.700001;22.950001;13.284972;74000
2000-12-29;23.250000;23.475000;22.950001;23.250000;13.458627;104000
2001-01-02;23.400000;23.549999;23.200001;23.400000;13.545455;137500
2001-01-03;23.775000;24.000000;23.350000;23.775000;13.762534;292500
2001-01-04;22.500000;23.775000;22.100000;22.500000;13.024482;175500
2001-01-05;22.174999;22.225000;21.799999;22.174999;12.836347;138500
2001-01-08;22.174999;22.799999;22.000000;22.174999;12.836347;352500
2001-01-09;22.075001;22.299999;21.900000;22.075001;12.778460;287000
2001-01-10;22.075001;22.075001;22.075001;22.075001;12.778460;0
2001-01-11;21.150000;21.400000;20.950001;21.150000;12.243011;129000
2001-01-12;21.049999;21.200001;20.600000;21.049999;12.185122;230000
2001-01-16;21.250000;21.600000;21.200001;21.250000;12.300897;277500
2001-01-17;21.190624;21.600000;21.100000;21.190624;12.266524;224500
2001-01-18;21.500000;21.650000;21.350000;21.500000;12.445613;192500
2001-01-19;20.700001;21.299999;20.650000;20.700001;11.982522;62000
2001-01-22;20.500000;20.700001;20.400000;20.500000;11.866748;387000
2001-01-23;20.799999;20.900000;20.446875;20.799999;12.040405;808500
2001-01-24;20.400000;20.900000;20.200001;20.400000;11.808859;1182000
2001-01-25;20.275000;20.400000;19.975000;20.275000;11.736503;377000
2001-01-26;21.100000;21.200001;20.600000;21.100000;12.214067;214500
2001-01-29;21.200001;21.400000;20.975000;21.200001;12.271954;218000
2001-01-30;21.125000;21.400000;20.950001;21.125000;12.228538;223000
2001-01-31;21.200001;21.400000;21.000000;21.200001;12.271954;160500
2001-02-01;21.225000;21.350000;21.000000;21.225000;12.286425;100500
2001-02-02;21.000000;21.200001;20.825001;21.000000;12.156180;122500
2001-02-05;21.000000;21.000000;21.000000;21.000000;12.156180;0
2001-02-06;21.075001;21.500000;20.912500;21.075001;12.199594;199500
2001-02-07;21.000000;21.400000;21.000000;21.000000;12.156180;3626000
